date,temperature_2m_max,temperature_2m_min,precipitation_sum
2019-07-20,28.7,25.5,44.7
2020-05-21,18.7,12.0,0.0
2020-05-22,22.4,11.4,0.0
2020-05-23,22.3,14.9,0.0
2020-05-24,26.7,17.6,0.0
2020-05-25,24.6,18.1,3.1
2020-05-26,20.8,16.6,5.5
2020-05-27,21.8,14.6,0.0
2020-05-28,23.6,15.0,0.0
2020-05-29,22.3,13.8,0.0
2020-05-30,26.3,17.6,0.3
2020-05-31,27.8,18.5,3.9
2020-06-01,25.3,19.2,3.0
2020-06-02,25.0,15.8,0.0
2020-06-03,25.2,18.0,1.0
2020-06-04,27.4,20.5,0.0
2020-06-05,27.3,18.6,0.0
2020-06-06,23.5,19.8,0.1
2020-06-07,23.9,19.5,0.0
2020-06-08,29.1,17.8,0.0
2020-06-09,32.8,21.7,1.2
2020-06-10,31.3,22.1,0.0
2020-06-11,27.8,23.9,47.3
2020-06-12,28.8,23.6,12.9
2020-06-13,27.4,24.9,9.4
2020-06-14,28.2,24.8,9.4
2020-06-15,27.6,21.7,0.0
2020-06-16,27.3,19.2,0.0
2020-06-17,26.6,20.7,2.8
2020-06-18,27.9,19.9,68.1
2020-06-19,23.3,19.2,46.4
2020-06-20,24.7,18.9,0.0
2020-06-21,26.9,18.6,0.0
2020-06-22,28.7,19.3,0.0
2020-06-23,28.0,21.1,0.0
2020-06-24,30.9,21.7,0.1
2020-06-25,28.7,23.2,27.8
2020-06-26,28.3,22.2,38.6
2020-06-27,28.2,22.2,39.1
2020-06-28,27.3,22.5,0.3
2020-06-29,30.2,20.6,9.1
2020-06-30,28.0,22.6,11.6
2020-07-01,24.7,20.6,1.9
2020-07-02,26.3,18.5,0.0
2020-07-03,24.4,21.0,22.6
2020-07-04,24.6,21.4,2.4
2020-07-05,27.6,21.0,7.0
2020-07-06,27.3,23.7,67.7
2020-07-07,26.6,21.4,75.2
2020-07-08,27.1,21.4,5.6
2020-07-09,29.1,22.5,29.5
2020-07-10,26.0,23.7,77.2
2020-07-11,28.8,23.5,9.5
2020-07-12,24.4,22.2,13.1
2020-07-13,27.8,23.5,17.6
2020-07-14,25.6,21.4,71.9
2020-07-15,23.2,20.8,5.1
2020-07-16,25.3,20.5,2.3
2020-07-17,25.0,21.1,1.6
2020-07-18,26.6,21.4,0.7
2020-07-19,31.7,22.8,4.6
2020-07-20,31.7,25.9,1.7
2021-05-21,21.9,16.2,0.8
2021-05-22,20.2,16.1,0.7
2021-05-23,24.7,14.3,0.0
2021-05-24,20.4,16.5,9.2
2021-05-25,25.9,15.9,0.1
2021-05-26,21.4,15.7,8.5
2021-05-27,22.3,15.1,38.7
2021-05-28,24.4,17.0,0.8
2021-05-29,22.6,16.6,0.0
2021-05-30,24.3,16.4,0.0
2021-05-31,26.7,16.9,0.0
2021-06-01,28.5,18.4,0.0
2021-06-02,25.1,20.3,0.0
2021-06-03,23.9,19.0,27.9
2021-06-04,23.1,18.1,26.0
2021-06-05,24.8,16.8,0.0
2021-06-06,25.1,16.5,0.0
2021-06-07,27.7,17.8,0.0
2021-06-08,26.2,19.0,0.0
2021-06-09,28.5,21.4,0.0
2021-06-10,29.0,21.7,0.0
2021-06-11,25.3,22.3,32.0
2021-06-12,27.6,22.3,3.6
2021-06-13,26.4,22.1,4.1
2021-06-14,25.9,21.0,1.0
2021-06-15,27.0,21.5,32.8
2021-06-16,24.9,19.9,5.0
2021-06-17,26.1,18.9,2.0
2021-06-18,24.3,21.6,24.2
2021-06-19,25.4,20.1,3.2
2021-06-20,26.2,18.5,0.0
2021-06-21,28.2,18.9,0.0
2021-06-22,25.6,20.1,0.0
2021-06-23,25.4,18.1,0.0
2021-06-24,24.5,18.9,0.0
2021-06-25,25.9,19.9,0.4
2021-06-26,28.1,21.0,2.9
2021-06-27,29.0,21.3,3.6
2021-06-28,28.6,21.9,0.5
2021-06-29,25.8,21.8,0.7
2021-06-30,28.6,21.6,1.9
2021-07-01,30.4,23.3,0.0
2021-07-02,26.8,23.7,0.9
2021-07-03,27.1,23.5,10.6
2021-07-04,31.5,25.6,2.3
2021-07-05,32.0,26.2,1.4
2021-07-06,31.2,25.8,1.1
2021-07-07,30.4,26.2,1.8
2021-07-08,28.4,26.0,22.8
2021-07-09,28.5,25.2,41.6
2021-07-10,29.4,24.4,2.1
2021-07-11,30.5,24.1,3.2
2021-07-12,31.1,24.5,0.9
2021-07-13,31.4,25.3,3.4
2021-07-14,31.1,25.4,2.9
2021-07-15,30.9,24.7,2.3
2021-07-16,30.1,23.8,0.3
2021-07-17,28.8,23.0,7.4
2021-07-18,31.9,24.1,3.3
2021-07-19,32.1,24.7,2.3
2021-07-20,33.1,23.5,0.0
2022-05-21,22.9,16.2,0.1
2022-05-22,26.5,14.5,0.0
2022-05-23,25.0,17.0,0.0
2022-05-24,27.3,16.1,0.0
2022-05-25,27.1,19.0,0.2
2022-05-26,24.4,19.3,10.3
2022-05-27,26.3,16.3,0.0
2022-05-28,28.6,17.0,0.0
2022-05-29,28.3,15.9,0.0
2022-05-30,24.8,19.8,6.2
2022-05-31,23.7,19.5,0.5
2022-06-01,28.5,18.5,0.0
2022-06-02,25.9,16.2,0.0
2022-06-03,25.5,15.6,0.0
2022-06-04,32.1,17.2,0.0
2022-06-05,23.1,18.7,76.0
2022-06-06,21.8,18.1,11.3
2022-06-07,21.4,17.3,1.7
2022-06-08,22.7,15.8,0.0
2022-06-09,24.5,15.8,0.5
2022-06-10,26.9,18.6,2.5
2022-06-11,21.6,19.2,11.5
2022-06-12,23.6,19.4,1.8
2022-06-13,22.3,18.8,16.2
2022-06-14,22.7,18.3,30.3
2022-06-15,24.7,21.2,1.3
2022-06-16,27.5,20.9,1.2
2022-06-17,28.4,20.7,1.2
2022-06-18,27.3,21.3,0.0
2022-06-19,28.6,21.6,0.4
2022-06-20,27.7,21.6,10.0
2022-06-21,28.8,22.9,53.7
2022-06-22,28.5,23.2,3.6
2022-06-23,29.6,23.8,0.4
2022-06-24,29.4,23.0,9.6
2022-06-25,25.1,22.7,26.8
2022-06-26,31.0,22.9,2.4
2022-06-27,31.7,24.4,0.1
2022-06-28,31.8,25.5,0.1
2022-06-29,32.0,24.4,0.1
2022-06-30,33.3,24.3,1.3
2022-07-01,31.9,24.7,0.0
2022-07-02,35.6,23.9,0.0
2022-07-03,32.8,25.5,1.4
2022-07-04,31.0,24.7,23.0
2022-07-05,28.0,24.8,18.4
2022-07-06,29.4,24.6,9.0
2022-07-07,30.9,25.1,4.8
2022-07-08,31.6,25.5,11.1
2022-07-09,29.6,24.4,10.0
2022-07-10,29.1,24.3,0.0
2022-07-11,32.2,24.2,5.1
2022-07-12,28.2,24.6,1.6
2022-07-13,28.7,23.0,0.0
2022-07-14,31.8,26.1,19.6
2022-07-15,30.6,24.9,5.6
2022-07-16,28.5,23.9,6.5
2022-07-17,29.4,24.0,0.0
2022-07-18,28.1,24.3,12.7
2022-07-19,29.9,24.1,19.3
2022-07-20,31.5,22.9,0.0
2023-05-21,23.5,14.1,0.0
2023-05-22,22.5,14.5,2.0
2023-05-23,20.3,14.8,0.9
2023-05-24,21.4,13.4,0.8
2023-05-25,23.8,16.2,0.3
2023-05-26,26.5,16.3,0.0
2023-05-27,26.6,17.7,0.0
2023-05-28,29.3,18.5,0.1
2023-05-29,29.5,22.3,3.1
2023-05-30,24.8,19.1,29.6
2023-05-31,23.6,18.8,14.0
2023-06-01,29.1,19.9,5.4
2023-06-02,25.5,19.8,20.1
2023-06-03,22.2,17.7,0.0
2023-06-04,25.3,16.5,0.0
2023-06-05,24.3,18.2,0.0
2023-06-06,21.2,17.1,26.2
2023-06-07,25.5,16.1,0.0
2023-06-08,21.3,18.4,11.2
2023-06-09,25.9,16.5,0.0
2023-06-10,27.2,18.4,0.3
2023-06-11,27.8,20.0,32.3
2023-06-12,26.8,20.8,0.0
2023-06-13,26.0,20.5,2.8
2023-06-14,24.5,20.8,2.4
2023-06-15,25.3,20.0,0.9
2023-06-16,26.0,18.0,0.0
2023-06-17,28.4,18.2,0.0
2023-06-18,25.9,21.2,0.0
2023-06-19,25.5,19.7,0.0
2023-06-20,28.9,20.4,0.0
2023-06-21,26.7,22.6,30.6
2023-06-22,26.1,20.5,1.3
2023-06-23,26.3,20.0,0.3
2023-06-24,26.2,20.7,0.0
2023-06-25,25.9,21.3,25.9
2023-06-26,29.7,23.1,4.9
2023-06-27,30.5,24.5,1.0
2023-06-28,29.7,24.8,1.8
2023-06-29,29.7,24.2,3.0
2023-06-30,26.9,23.6,37.8
2023-07-01,27.0,23.4,33.0
2023-07-02,29.8,23.2,3.5
2023-07-03,28.7,23.7,32.3
2023-07-04,30.3,22.4,3.0
2023-07-05,29.4,23.3,22.1
2023-07-06,29.0,21.7,0.0
2023-07-07,29.5,24.6,28.6
2023-07-08,28.9,25.6,30.1
2023-07-09,28.0,24.5,59.7
2023-07-10,30.0,24.0,17.4
2023-07-11,32.2,25.0,0.8
2023-07-12,29.9,24.3,3.3
2023-07-13,32.0,25.1,0.9
2023-07-14,29.3,25.7,0.2
2023-07-15,31.9,26.6,2.1
2023-07-16,33.0,25.2,0.2
2023-07-17,33.3,23.8,1.6
2023-07-18,33.2,24.9,0.3
2023-07-19,30.0,25.6,6.3
2023-07-20,27.4,24.2,0.4
2024-05-21,23.3,17.0,0.0
2024-05-22,25.4,16.3,0.0
2024-05-23,26.5,19.3,0.0
2024-05-24,24.9,18.0,0.0
2024-05-25,25.8,16.8,0.0
2024-05-26,31.0,18.1,15.4
2024-05-27,26.5,19.8,19.8
2024-05-28,20.3,16.7,39.2
2024-05-29,21.2,14.3,0.0
2024-05-30,25.2,14.9,0.0
2024-05-31,20.9,17.1,8.3
2024-06-01,24.9,14.9,0.0
2024-06-02,21.1,15.9,0.3
2024-06-03,21.5,15.8,0.0
2024-06-04,22.1,16.1,0.5
2024-06-05,24.1,13.9,0.0
2024-06-06,24.5,18.3,0.5
2024-06-07,26.3,16.7,0.3
2024-06-08,25.8,18.7,3.2
2024-06-09,27.0,20.0,6.5
2024-06-10,24.9,19.9,0.1
2024-06-11,26.4,19.0,0.0
2024-06-12,26.3,21.0,0.0
2024-06-13,27.3,20.9,0.0
2024-06-14,28.1,20.2,0.6
2024-06-15,28.2,21.3,0.3
2024-06-16,27.2,22.2,0.3
2024-06-17,25.8,19.6,20.3
2024-06-18,24.9,19.7,4.7
2024-06-19,30.6,19.5,0.0
2024-06-20,23.2,20.7,36.6
2024-06-21,27.2,20.7,14.5
2024-06-22,28.2,22.7,19.5
2024-06-23,27.8,24.1,24.8
2024-06-24,26.8,22.8,9.2
2024-06-25,25.6,21.0,12.1
2024-06-26,24.6,20.9,8.3
2024-06-27,24.8,21.5,49.3
2024-06-28,27.1,22.7,40.5
2024-06-29,28.9,22.7,11.7
2024-06-30,29.4,24.8,20.9
2024-07-01,27.7,24.6,41.8
2024-07-02,32.2,24.4,3.0
2024-07-03,33.1,26.6,0.8
2024-07-04,32.5,25.8,1.0
